date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:20	4976/4976	---M--	200	added ('OK')	image/png	etag:%2270e484e-1370-59fb1ae27e7d7%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/owlcarousel/assets/owl.video.play.png	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/owlcarousel/assets/owl.video.play.png	(from http://projectsiot.xyz/IoTProjects/walkstick/lib/owlcarousel/assets/owl.carousel.min.css)
11:35:33	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2270e485f-12d68-59fb1ae28e9a7%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/css/font-awesome.min.css)
11:35:37	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2270e4863-17ee8-59fb1ae292c0f%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/css/font-awesome.min.css)
11:35:42	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%2270e4862-6c7db-59fb1ae292827%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/css/font-awesome.min.css)
11:35:44	5382/5382	---M--	200	added ('OK')	image/png	etag:%2270e4837-1506-59fb1ae272c56%22	http://projectsiot.xyz/IoTProjects/walkstick/img/hero-bg.png	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/img/hero-bg.png	(from http://projectsiot.xyz/IoTProjects/walkstick/css/style.css)
11:35:44	355/355	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2006:05:53%20GMT	http://projectsiot.xyz/IoTProjects/walkstick/img/video-bg.jpg	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/img/video-bg.jpg	(from http://projectsiot.xyz/IoTProjects/walkstick/css/style.css)
11:35:45	360/360	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Mar%202020%2006:05:53%20GMT	http://projectsiot.xyz/IoTProjects/walkstick/img/newsletter-bg.jpg	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/img/newsletter-bg.1e.delayed	(from http://projectsiot.xyz/IoTProjects/walkstick/css/style.css)
11:35:46	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2270e4861-2876e-59fb1ae290117%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/css/font-awesome.min.css)
11:35:48	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2270e4861-2876e-59fb1ae290117%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/css/font-awesome.min.css)
11:35:51	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%2270e4860-286ac-59fb1ae28fd2f%22	http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/htmlcode/projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://projectsiot.xyz/IoTProjects/walkstick/lib/font-awesome/css/font-awesome.min.css)
